name,price
Python项目开发实战（第2版）,62.30
包邮 教孩子学编程+趣学Python+父与子的编程之旅 全3册 教孩子编程的图书 python,129.00
精通Scrapy网络爬虫,40.70
Python机器学习基础教程,53.40
Python数据科学入门,36.50
深度学习入门 基于Python的理论与实现 人工智能书籍,42.10
Python快速编程入门 传智播客 黑马程序员 python编程从入门到实践基础视频教程核心编程爬虫,32.00
实战Python网络爬虫,89.10
Python机器学习实践：测试驱动的开发方法,46.60
Python从入门到项目实践 全彩版 明日科技 自学Python软件开发从入门到精通 网格爬虫,54.80
教孩子学编程 Python语言版,44.25
Automate The Boring Stuff With Python,160.00
面向自然语言处理的深度学习 用Python创建神经网络+自然语言处理Python进阶 计算机编程开发,215.00
深度学习——基于Python语言和TensorFlow平台（视频讲解版）,41.70
Python数据分析实战,46.60
树莓派实战全攻略:Scratch、Python、Linux、Minecraft应用与机器人智能制作,89.30
深海管道试验的数值模拟理论及应用：ABAQUS参数化设计中的Python脚本,27.60
PYTHON基础教程(第三版),69.80
Python金融大数据分析,70.30
包邮 机器学习：使用OpenCV和Python进行智能图像处理 计算机与|8053731,46.90
Python地理数据处理 [美]Chris Garrard 加勒德 97871154566,45.82
包邮 OpenCV 3计算机视觉：Python语言实现（原书第2版）|4966057,33.30
爱上Raspberry Pi 第2版 树莓派编程快速入门手册,38.60
Python基础教程 第3版,99.00
Python 实战编程：从零学Python,78.90
5本 深度学习+深度学习入门+Python编程基础+神经网络编程+TensorFlow 人工智能书籍,365.00
数据馆员的Python简明手册,43.50
少儿编程语言 小学生c++趣味编程+ Scratch2.0少儿编程奇幻之旅+趣学Python,125.00
华章程序员书库·Python编程实战：运用设计模式、并发和程序库创建高质量程序,45.60
Head First Python 巴里 9787512322233 中国电力出版社,69.00
Python程序设计实用教程（全国高等院校应用型创新规划教材·计算机系列）,46.40
Python高手之路,43.10
Python带我起飞 入门、进阶、商业实战,55.90
物联网应用设计与实战：基于AVR单片机和Python,46.60
数据结构（Python版）/21世纪高等学校计算机基础实用规划教材,32.70
Python 3 基础教程,35.20
从问题到程序 用Python学编程和计算,50.60
Python数据分析基础（全国高等院校应用型创新规划教材·计算机系列）,32.30
Python数据分析机器学习深度学习和NLP实例编程 深度学习实战Python网络爬虫,230.00
"Python基础教程(第2版 修订版) [挪]Magnus Lie Hetland,司维",45.82
【包邮】Python渗透测试编程技术 方法与实践 李华峰 Python 黑帽子书籍,51.60
【好书推荐】  像计算机科学家一样思考Python Python核心编程,26.50
父与子的编程之旅 与小卡特一起学Python 教孩子编程的图书 python编程入门教程,46.00
对比Excel，轻松学习Python数据分析 Python大数据挖掘预测技术教程书籍,41.50
Python 语言构建机器学习系统 第2版（影印版）,46.90
Python机器学习基础教程 Python机器学习算法教程书籍 Python语言编程,58.00
Python机器学习 预测分析核心算法 [美] Michael Bowles   鲍尔斯,40.02
Python 金融大数据分析 Python编程入门,70.70
Python编程快速上手 Python编程从入门到实践python3.0编程从入门到实践,40.60
Python黑客攻防入门 黑客攻防技术教程,43.10
包邮 学习OpenCV3 中文版+深度学习与计算机视觉+Python计算机视觉编程+Python语言,248.00
Python参考手册(第4版·修订版),64.10
Python程序设计,41.20
Python快速入门精讲,43.10
知识网络与合作网络的关系——基于Python编程,46.50
现货包邮 高教版2019年全国计算机等级考试二级Python语言程序设计冲刺试卷第2版+公共基础知识,54.60
Python自然语言处理（影印版）,83.70
Python项目案例开发从入门到实战 爬虫、游戏和机器学习书籍 郑秋生,55.00
包邮 Python Linux系统管理与自动化运维 计算机与互联网 书箱|6550978,60.50
数据科学导论：Python语言实现,38.70
正版现货 数据结构与算法：Python语言实现/数据库算法/python语言计算机书|1016124,74.10
Python编程入门(第3版)  python核心编程教程书籍 python学习手册 基础教程,27.40
【现货正版】 Python编程无师自通 专业程序员的养成 宋秉金Python3网络爬虫项目编程,39.20
现货 高教版2019年9月 3月用全国计算机等级考试二级教程 Python语言程序设计 教材+冲刺试,94.90
从零开始学Python网络爬虫,46.00
从芯片到云端 Python物联网全栈开发实践 Python物联网全栈开发实践 py,86.74
【全4册】正版书籍冷门思维与传统足彩+零起点Python足彩大数据与机器学习实盘分析世界,179.30
现货包邮 DevOps和自动化运维实践/Python/Linux/Unix运维书|8053230,60.50
Python绝技,51.70
现货包邮 高教2019年版全国计算机等级考试二级教程Python语言程序设计+冲刺试卷第2版含线上题,67.80
Python语言程序设计,34.30
Python数据科学实践指南,46.60
Python数据分析与挖掘实战/大数据技术丛书,47.00
Python数据分析基础,78.30
Python深度学习,54.30
Python和HDF 5大数据应用,30.80
Python编程基础与案例集锦 中学版+中学生可以这样学Python书籍,62.60
包邮Python机器学习 5个数据科学家案例解析+ 机器学习 周志华西瓜书机器学习入门书 2本,101.00
包邮 实用卷积神经网络:运用Python实现高级深度学习模型 计算机与互|8058118,48.30
量化交易之路：用Python做股票量化分析+量化投资+零起点Python大数据与量化交易书,214.80
OpenCV3计算机视觉Python语言实现 原书第2版 人脸检测与识别,37.40
正版包邮 Django企业开发实战 高效Python Web框架指南 博客系统开发实例教程书籍,72.00
【包邮】对比Excel 轻松学习Python数据分析+Python数据分析入门,86.60
Python项目案例开发从入门到实战——爬虫、游戏和机器学习（从入门到实战·微课视频）,59.90
语料库语言学及Python实现,26.80
【R】精通特征工程 人工智能教程机器学习 Python 算法 通过Python示例掌握特征工程基本原,41.00
Python算法教程+数据结构 Python语言描述 语言编程入门 利用Pytho,105.30
Python 3.6零基础入门与实战+Python网络爬虫实战（2版）2本,103.80
人民邮电：深度学习入门 基于Python的理论与实现,44.25
解析Python网络爬虫：核心技术、Scrapy框架、分布式爬虫,45.50
Python编程 从入门到实践 [美]埃里克·马瑟斯(Eric Matthes),64.80
零基础学Python 和外星人一起学系列 pyhton从入门到精通python语言程序设计基础,43.80
Python 3.7从零开始学 全程视频教学 兄弟连教育组织编写书籍,54.60
包邮 Python文本分析 计算机与互联网 |7836736,53.70
Python算法与程序设计基础(第2版)（21世纪高等学校计算机基础实用规划教材）,41.60
趣学Python编程,32.40
Python程序设计教程,37.40
PYTHON程序员面试算法宝典,43.20
跟老齐学Python Django实战 第2版 齐伟,55.60
包邮自然语言处理理论与实战+Python自然语言处理实战核心技术与算法 自然语言文本提取书籍,109.80
Python编程入门 全3册 Python编程从入门到实践 零基础入门学习 基础教程,160.90
Python与量化投资从基础到实战+量化交易+Python机器学习快速入门+大数据量化交易+量化投资,327.00
和孩子一起玩编程 中小学编程入门书 趣学python编程入门零基础教孩子学编程的书,49.50
包邮精通Python自然语言处理+NLP汉语自然语言处理原理与实践 2本 语法语义分析,116.60
OpenCV算法精解 OpenCV教程书籍 C++和Python代码拆分算法实现方法 数字图像处理基,63.20
包邮Python自然语言处理+Python自然语言处理实战核心技术与算法+Python文本分析,221.80
正版包邮自动化平台测试开发Python测试开发实战+Web接口开发与自动化测试+自动化测试实战书籍,125.00
正版包邮 Python编程 从入门到实践 基本教程到完整项目开发爬虫学习数据分析处理 语言程序设计p,89.00
Python绝技：运用Python成为顶级黑客 python编程教程书籍,55.00
Python机器学习基础教程,56.90
Raspberry Pi编程指南·第2版 基于Python的游戏编程与机器人制作,41.00
算法设计与分析(Python)/21世纪高等学校计算机专业实用规划教材,32.30
